node_id,node_type,node_type_name
0,0,author
1,0,author
2,0,author
3,0,author
4,0,author
5,0,author
6,0,author
7,0,author
8,0,author
9,0,author
10,0,author
11,0,author
12,0,author
13,0,author
14,0,author
15,0,author
16,0,author
17,0,author
18,0,author
19,0,author
20,0,author
21,0,author
22,0,author
23,0,author
24,0,author
25,0,author
26,0,author
27,0,author
28,0,author
29,0,author
30,0,author
31,0,author
32,0,author
33,0,author
34,0,author
35,0,author
36,0,author
37,0,author
38,0,author
39,0,author
40,0,author
41,0,author
42,0,author
43,0,author
44,0,author
45,0,author
46,0,author
47,0,author
48,0,author
49,0,author
50,0,author
51,0,author
52,0,author
53,0,author
54,0,author
55,0,author
56,0,author
57,0,author
58,0,author
59,0,author
60,0,author
61,0,author
62,0,author
63,0,author
64,0,author
65,0,author
66,0,author
67,0,author
68,0,author
69,0,author
70,0,author
71,0,author
72,0,author
73,0,author
74,0,author
75,0,author
76,0,author
77,0,author
78,0,author
79,0,author
80,0,author
81,0,author
82,0,author
83,0,author
84,0,author
85,0,author
86,0,author
87,0,author
88,0,author
89,0,author
90,0,author
91,0,author
92,0,author
93,0,author
94,0,author
95,0,author
96,0,author
97,0,author
98,0,author
99,0,author
100,0,author
101,0,author
102,0,author
103,0,author
104,0,author
105,0,author
106,0,author
107,0,author
108,0,author
109,0,author
110,0,author
111,0,author
112,0,author
113,0,author
114,0,author
115,0,author
116,0,author
117,0,author
118,0,author
119,0,author
120,0,author
121,0,author
122,0,author
123,0,author
124,0,author
125,0,author
126,0,author
127,0,author
128,0,author
129,0,author
130,0,author
131,0,author
132,0,author
133,0,author
134,0,author
135,0,author
136,0,author
137,0,author
138,0,author
139,0,author
140,0,author
141,0,author
142,0,author
143,0,author
144,0,author
145,0,author
146,0,author
147,0,author
148,0,author
149,0,author
150,0,author
151,0,author
152,0,author
153,0,author
154,0,author
155,0,author
156,0,author
157,0,author
158,0,author
159,0,author
160,0,author
161,0,author
162,0,author
163,0,author
164,0,author
165,0,author
166,0,author
167,0,author
168,0,author
169,0,author
170,0,author
171,0,author
172,0,author
173,0,author
174,0,author
175,0,author
176,0,author
177,0,author
178,0,author
179,0,author
180,0,author
181,0,author
182,0,author
183,0,author
184,0,author
185,0,author
186,0,author
187,0,author
188,0,author
189,0,author
190,0,author
191,0,author
192,0,author
193,0,author
194,0,author
195,0,author
196,0,author
197,0,author
198,0,author
199,0,author
200,0,author
201,0,author
202,0,author
203,0,author
204,0,author
205,0,author
206,0,author
207,0,author
208,0,author
209,0,author
210,0,author
211,0,author
212,0,author
213,0,author
214,0,author
215,0,author
216,0,author
217,0,author
218,0,author
219,0,author
220,0,author
221,0,author
222,0,author
223,0,author
224,0,author
225,0,author
226,0,author
227,0,author
228,0,author
229,0,author
230,0,author
231,0,author
232,0,author
233,0,author
